"id_str","text"
"1274657459018149888","RT @amnestyindo: [BREAKING] ""Dengan rekam jejak komitmen negara saat ini, kita perlu mempertanyakan sebenarnya apa yang ingin diwariskan pada generasi mendatang? Keadilan? Jika ya, negara harus membuktikan komitmen terhadap tiga hal tersebut, dapat dimulai dari penuntasan kasus Novel Baswedan."" https://t.co/polQYiegwD"
"1274657246996135937","RT @Aryprasetyo85: #RekayasaDidzolimi 
Eksekusi penembakan dilakukan pada malam hari.

Novel tampak menembak kaki kiri Erwansyah menggunakan senjata api jenis revolver berisi enam peluru hingga tersangka tersungkur. Lalu Novel juga menembak kaki kanan Dedi Muryadi.
https://t.co/tu6QB5mOjN"
"1274657226234359808","RT @AriestaRiico_: Jika Novel berteriak minta keadilan, bagaimana dengan keadilan korban pelaku sarang burung walet yang dia tembak....???

Keadilan hak semua warga negara
#RekayasaDidzolimi https://t.co/jmj2AIa6mP"
"1274657114611306498","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274656985602904065","RT @TirtoID: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan.

https://t.co/vlyVP5YBnu"
"1274656725132382209","@tehsusuenaq Novel baswedan?"
"1274656724851384321","RT @kompascom: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan | #HBD59Jokowi     https://t.co/DRwn3FlfIp"
"1274656689426317312","RT @ANDINI_MAHARAN1: JPU yang menuntut kasus NOVEL BASWEDAN .
Fedrik Adhar, PERLU DI PERIKSA KEKAYAAN NYA.
yg benar aja sich...mosok laporan di LHKPN Harga Fortuner dan Lexus hanya Rp 5 Juta ...ini janggal.

https://t.co/a67KAVSIFB"
"1274656552608096256","RT @dikisahkeun: @kepersekutuanm @brizcky98 @dapppoy @txtdrberseragam Ngelacak begituan aja cepet, semangat 45, kasus kasus dari zaman orba, sampe kasus novel baswedan aja lamaaa bet, kaga jelas lagi."
"1274656368096468993","[BREAKING] ""Dengan rekam jejak komitmen negara saat ini, kita perlu mempertanyakan sebenarnya apa yang ingin diwariskan pada generasi mendatang? Keadilan? Jika ya, negara harus membuktikan komitmen terhadap tiga hal tersebut, dapat dimulai dari penuntasan kasus Novel Baswedan."" https://t.co/polQYiegwD"
"1274655764997500928","RT @AnakKolong_: 12. ""Dengan adanya tiga kejanggalan tersebut, bisa dikatakan bahwa rekam medis Novel Baswedan dari Eye &amp; Surgeons Clinic yang ditayangkan Mata Najwa diduga rekam medis palsu"",ujar @GatotSwandito menutup tulisannya. 
.
.
.
.
#RekayasaDidzolimi https://t.co/wBdX6vn5eT"
"1274655686161338369","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274655488685142017","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274654761334083584","RT @syifaz1995: Luar biasa ini ucapan selamat ultah buat Bapak Jokowi dari @nazaqistsha.

Semoga saja kasus walet juga dapatkan keadilan ya pak @nazaqistsha.
https://t.co/F7iYgsrCME"
"1274654658124865536","RT @dikisahkeun: @kepersekutuanm @brizcky98 @dapppoy @txtdrberseragam Ngelacak begituan aja cepet, semangat 45, kasus kasus dari zaman orba, sampe kasus novel baswedan aja lamaaa bet, kaga jelas lagi."
"1274654128736579584","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274654062860840960","Presiden Jokowi tidak intervensi kasus novel baswedan https://t.co/jweCHJlrEE"
"1274653636472082434","[BREAKING] ""Tidak profesionalnya Jaksa Penuntut Umum dan konflik kepentingan dalam kasus Novel Baswedan adalah bentuk institusionalisasi politik otoritarian melalui hukum dan peradilan. Institusionalisasi ketidakadilan berpotensi besar melanggar HAM."" kata Herlambang. https://t.co/6zKHKNHStA"
"1274653464954454017","Presiden Jokowi tidak intervensi kasus novel baswedan https://t.co/Byay4RUpvy"
"1274653363938811906","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274653346255659008","RT @ramydhia: Setelah bikin video kritik atas tuntutan JPU kasus Novel Baswedan, Bintang Emon difitnah.

Mungkin kita pikir, ""dih gak jelas bgt fitnahnya, gak rapi, gak bakal ada yg percaya lah!""

tp tau gak, bahkan diisengin kayak gini tuh bisa ngaruh banget buat public figure?

--a thread-- https://t.co/TTLq22EzPt"
"1274653224679559168","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
